timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,label
2025-07-13T11:10:05.484040,13280,-2220,10620,-609,909,-290,sitting
2025-07-13T11:10:05.484040,13268,-2320,10792,-582,903,-265,sitting
2025-07-13T11:10:05.484040,13288,-2272,10780,-541,774,-243,sitting
2025-07-13T11:10:05.484040,13412,-2156,10936,-512,701,-329,sitting
2025-07-13T11:10:05.484040,13416,-2260,10776,-532,771,-341,sitting
2025-07-13T11:10:05.494962,13356,-2192,10708,-571,856,-315,sitting
2025-07-13T11:10:05.494962,13288,-2300,10584,-608,936,-233,sitting
2025-07-13T11:10:05.494962,13288,-2324,10656,-598,869,-274,sitting
2025-07-13T11:10:05.494962,13324,-2260,10884,-567,788,-282,sitting
2025-07-13T11:10:05.494962,13312,-2204,10816,-546,759,-291,sitting
2025-07-13T11:10:06.519201,13276,-2300,10684,-552,817,-276,sitting
2025-07-13T11:10:06.519201,13368,-2172,10800,-535,812,-255,sitting
2025-07-13T11:10:06.519201,13404,-2200,10756,-503,799,-278,sitting
2025-07-13T11:10:06.519201,13344,-2208,10736,-530,845,-260,sitting
2025-07-13T11:10:06.519201,13532,-2244,10620,-593,843,-312,sitting
2025-07-13T11:10:06.519201,13332,-2340,10676,-622,866,-310,sitting
2025-07-13T11:10:06.519201,13336,-2300,10664,-613,863,-247,sitting
2025-07-13T11:10:06.519201,13444,-2192,10708,-570,805,-294,sitting
2025-07-13T11:10:06.519201,13276,-2208,10612,-530,769,-311,sitting
2025-07-13T11:10:06.519201,13316,-2156,10804,-548,772,-294,sitting
2025-07-13T11:10:06.519201,13272,-2240,10708,-575,789,-253,sitting
2025-07-13T11:10:06.519201,13320,-2292,10944,-559,743,-281,sitting
2025-07-13T11:10:06.519201,13452,-2328,10840,-564,751,-262,sitting
2025-07-13T11:10:06.519201,13412,-2328,10756,-572,724,-315,sitting
2025-07-13T11:10:06.519201,13416,-2428,10640,-554,793,-301,sitting
2025-07-13T11:10:06.519201,13384,-2400,10712,-556,814,-259,sitting
2025-07-13T11:10:06.519201,13300,-2384,10620,-570,791,-247,sitting
2025-07-13T11:10:06.519201,13492,-2200,10776,-550,752,-271,sitting
2025-07-13T11:10:06.519201,13456,-2148,10660,-565,786,-306,sitting
2025-07-13T11:10:06.519201,13420,-2160,10772,-596,845,-308,sitting
2025-07-13T11:10:06.531551,13304,-2192,10636,-611,880,-303,sitting
